Symbol,TokenAddress,TimeStamp,MovementType,Quantity,Countervalue,SymbolCountervalue,SourceCountervalue,SourceSymbolCountervalue
ETH,,2023-02-21 06:53:42,CREDIT,0.0312,49.874676663542642924086223055295220244,EUR,,
BNB,,2023-02-21 06:53:42,EXCHANGE_FEE,-0.00012621,-0.037385128959700093720712277413308341,EUR,,
EUR,,2023-02-21 06:53:42,DEBIT,-49.868832,-49.868832,EUR,,
BETH,,2023-02-21 09:03:00,STAKING,0.0000286,0,EUR,0,USD
BTC,,2023-02-22 07:08:41,CREDIT,0.00444,99.799454409005628517823639774859287054,EUR,,
EUR,,2023-02-22 07:08:41,DEBIT,-99.8778,-99.8778,EUR,,
BETH,,2023-02-22 08:32:56,STAKING,0.00002142,0,EUR,0,USD
BTC,,2023-02-22 12:29:22,EARN,0.00000086,0,EUR,0,USD
USDT,,2023-02-22 12:50:03,EARN,0.20439383,0,EUR,0,USD
BTC,,2023-02-22 15:04:57,CREDIT,0.00446,100.114897276995305164319248826291079812,EUR,,
EUR,,2023-02-22 15:04:57,DEBIT,-99904,-99904,EUR,,
BUSD,,2023-02-22 22:49:06,CREDIT,500.18925144,471.827742121872233493130188679245282943,EUR,,
USDT,,2023-02-22 22:49:06,DEBIT,-500.20439383,-471.890937575471698113207547169811320679,EUR,,
BUSD,,2023-02-22 22:58:46,CREDIT,544.83843908,514.194684434987623452830188679245282772,EUR,,
USDT,,2023-02-22 22:58:46,DEBIT,-544.85518579,-514.069555617093033290566037735849056614,EUR,,
USDT,,2023-02-23 02:43:02,EARN,0.0205493,0,EUR,0,USD
